 Paper ID , Manuscript Title , Method used for optimization of the supply chain , VSM  used alone or in combination with other optimization methods , Main benefits , Place where the study was implemented ,Country,Continent, Company sector ,Sector , Year of publication , Improvement rate for the KPIs , ,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,,, 
 Paper 144 , Comparison of Four Environmental Assessment Tools in Swedish Manufacturing: A Case Study ," Environmental Value Stream Map (EVSM ), Green Performance Map (GPM), Waste Flow Mapping (WFM), Life Cycle Assessment (LCA) "," EVSM  used in combination with GPM, WFM, and LCA "," Insights into features, applicability, and limitations of the four tools for environmental assessment ", Sweden ,Sweden,Europe, Automotive ,Automotive ,2019, Not explicitly stated , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 17 , An Integrated Fuzzy-based Multi Criteria Decision Making System to Selection of Lean Tool Performance: An Indian Automotive Parts Manufacturing Company Case Study , Fuzzy-based Multi Criteria Decision Making System ," VSM  was considered along with other lean tools such as poka-yoke, single minute exchange of die (SMED), kaizen, and 5S "," The study found that the use of a fuzzy-based multi criteria decision making system can help in selecting the most appropriate lean tool for a given manufacturing scenario, leading to improvements in various performance metrics. ", An Indian automotive parts manufacturing company ,India,Asia, Automotive parts manufacturing ,Automotive ,2015, The specific improvement rates are not mentioned in the provided document. , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 267 , Implementation of Lean Six Sigma in Quality Improvement by Reducing NG Drop Defective Products in the HL 4.8 Product Final Test Machine , Lean Six Sigma (DMAIC process) ," VSM  not explicitly mentioned, but DMAIC process used for optimization ", - Improvement in production yield from 92.17% to 99.88% <br> - Increase in sigma level from 1.4482 to 2.9730 <br> - Decrease in NG Drop's percentage of defective products from 0.62% to 0.036% , Unnamed company producing Hologram Laser 4.8 (HL 4.8) products ,-,-, Electronic component manufacturing ,Electronics,2023, - Production yield improved by 7.71 percentage points (from 92.17% to 99.88%) <br> - Sigma level increased by 1.5248 (from 1.4482 to 2.9730) <br> - NG Drop's percentage of defective products decreased by 0.584 percentage points (from 0.62% to 0.036%) , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 276 , Utilizing Process Value Mapping in Lieu of Value Stream Mapping for Elimination of Waste in Business and Information Processes , Process Value Mapping (PVM) ," VSM  not used, PVM used instead ", - Allows for simultaneous analysis of information and material flow <br> - Provides percentage value-added time for the entire process <br> - More suitable for optimizing business processes that are primarily information flow or a combination of information and material flow , Case study of a loan approval process in financial institutions ,-,-, Finance ,Finance,2007, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 236 , A new hybrid method for manufacturing sustainability performance assessment: a case study in furniture industry ," Sustainability VSM, Delphi, Dematel-Analytical Network Process (ANP),  and Traffic Light System ", VSM  used in combination with other methods ," Assessment of manufacturing sustainability performance, identification of areas for improvement, increased efficiency and waste reduction ", Furniture industry in Indonesia ,Indonesia,Asia, Furniture industry , Furniture,2022, Manufacturing Sustainability Score (MSS) increased to 66.97% , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 231 , Scheduling Based Decision Support System Design for Determining the Number of Setup Workers Under SMED Environment , Unique heuristic algorithms for setup task scheduling based on optimization in an SMED environment , VSM  not explicitly mentioned ," Effective machine optimization, standardization of operation setup activities, reduced setup times, decreased customer lead times, processing times, and inventory levels ", Istanbul Technical University (IT?) ,Turkey,Asia, Not mentioned ,NA,2021, Not mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 10 , Using Lean Principles & Simulation for Productivity Improvement: the case of a ceramic industry , VSM  used in combination with simulation ," Yes, VSM  used in combination with simulation ", - Increased productivity by 16%<br>- Reduced work in progress<br>- Lowered waiting time for components<br>- Improved operators' utilization ," Vista Alegre Atlantis, SA, Portugal ",Portugal,Europe, Ceramic industry , Ceramic,2014, - Productivity: +16% ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 9 , Two-sided assembly line balancing of refrigeration assembly lines , VSM and Genetic Algorithm (GA) , VSM  used in combination with GA ," - Reduction of cycle time by 8.6% and 17.14%<br>- Reduction of balance delay by 18%, 19.21%, 21.16%, and 17.24%<br>- Minimization of variation between activities<br>- Increased efficiency and production rate ", Unspecified refrigeration company ,-,-, Household appliance manufacturing ,Household,2014," - Cycle Time: Reduction by 8.6% and 17.14%<br>- Balance Delay: Reduction by 18%, 19.21%, 21.16%, and 17.24%<br>- Efficiency: Increase to 79.06%, 79%, 81.28%, and 82.76%<br>- Production Rate: Increase to 113 and 124 units/hr ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 240 , A Sustainable Productive Method for Enhancing Operational Excellence in Shop Floor Management for Industry 4.0 Using Hybrid Integration of Lean and Smart Manufacturing: An Ingenious Case Study , VSM and Hybrid integration of Lean and Smart Manufacturing concepts, VSM  used in combination with other methods ," Enhancement of operational performance, improvement in overall equipment effectiveness (OEE), reduction in lead time, cycle time, and work in process inventory, improvement in workforce efficiency and financial profitability, boost in production rate and product quality ", Mining machinery manufacturing environment ,-,-, Mining Machinery Manufacturing ,Mining Machinery,2022," Overall equipment effectiveness (OEE): 72.04% (improved from 46.31%), Cycle time: 4860 minutes (reduced from 6800 minutes), Idle time: 390 minutes (reduced from 470 minutes), Manpower: 38 (reduced from 46), Shop floor area: 1950 square meters (reduced from 2550 square meters) ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 141 , Application of Lean Production/Construction to Reduce Waste in Pipe Gas Construction (Case Study of Semare-Tie in KM 19 Pipa Porong Grati Gas Development Project PT Pertamina Gas) ," VSM and Lean Construction approach, including Big Picture Mapping (BPM) ", VSM  (BPM) used in combination with Lean Construction ," - Improved efficiency and reduced waste in engineering work, specifically in the gas pipeline installation project ", Indonesia ,Indonesia,Asia, Oil and gas industry ,Oil and gas,2019, Not mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 271 , Lean Optimization of Batch Production in an Aluminium Company , VSM and other lean manufacturing techniques, VSM  used in combination with other lean tools , - Reduction of overall wastes in the component produced in batches <br> - Improvement in production planning control and operation management ," Port Harcourt, Rivers State, Nigeria ",Nigeria,Africa, Aluminium industry (production of aluminium roofing sheets and other building materials) ,Aluminium,2023, Not provided , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 246 , Simulation Approach to Optimize Production Costs Through Value Stream Mapping , VSM and Taboo Search Algorithm , VSM  used in combination with Taboo Search Algorithm ," - Reduction of wastes in terms of materials, time, and resources<br>- Lower production costs<br>- Improved productivity ", Not specified ,-,-, Manufacturing ,Manufacturing,2009, - 14.7% reduction in WIP for model GX 35 JD , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
