 Paper ID , Manuscript Title , Method used for optimization of the supply chain , VSM  used alone or in combination with other optimization methods , Main benefits , Place where the study was implemented ,Country,Continent, Company sector ,Sector , Year of publication , Improvement rate for the KPIs , ,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21, .1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31, .2,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41, .3,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51, .4,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61, .5
 Paper 144 , Comparison of Four Environmental Assessment Tools in Swedish Manufacturing: A Case Study ," Environmental Value Stream Map (EVSM ), Green Performance Map (GPM), Waste Flow Mapping (WFM), Life Cycle Assessment (LCA) "," EVSM  used in combination with GPM, WFM, and LCA "," Insights into features, applicability, and limitations of the four tools for environmental assessment ", Sweden ,Sweden,Europe, Automotive ,Automotive ,2019, Not explicitly stated , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 17 , An Integrated Fuzzy-based Multi Criteria Decision Making System to Selection of Lean Tool Performance: An Indian Automotive Parts Manufacturing Company Case Study , Fuzzy-based Multi Criteria Decision Making System ," VSM  was considered along with other lean tools such as poka-yoke, single minute exchange of die (SMED), kaizen, and 5S "," The study found that the use of a fuzzy-based multi criteria decision making system can help in selecting the most appropriate lean tool for a given manufacturing scenario, leading to improvements in various performance metrics. ", An Indian automotive parts manufacturing company ,India,Asia, Automotive parts manufacturing ,Automotive ,2015, The specific improvement rates are not mentioned in the provided document. , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 236 , A new hybrid method for manufacturing sustainability performance assessment: a case study in furniture industry ," Sustainability VSM, Delphi, Dematel-Analytical Network Process (ANP),  and Traffic Light System ", VSM  used in combination with other methods ," Assessment of manufacturing sustainability performance, identification of areas for improvement, increased efficiency and waste reduction ", Furniture industry in Indonesia ,Indonesia,Asia, Furniture industry , Furniture,2022, Manufacturing Sustainability Score (MSS) increased to 66.97% , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 231 , Scheduling Based Decision Support System Design for Determining the Number of Setup Workers Under SMED Environment , Unique heuristic algorithms for setup task scheduling based on optimization in an SMED environment , VSM  not explicitly mentioned ," Effective machine optimization, standardization of operation setup activities, reduced setup times, decreased customer lead times, processing times, and inventory levels ", Istanbul Technical University (IT?) ,Turkey,Asia, Not mentioned ,,2021, Not mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 10 , Using Lean Principles & Simulation for Productivity Improvement: the case of a ceramic industry , VSM  used in combination with simulation ," Yes, VSM  used in combination with simulation ", - Increased productivity by 16%<br>- Reduced work in progress<br>- Lowered waiting time for components<br>- Improved operators' utilization ," Vista Alegre Atlantis, SA, Portugal ",Portugal,Europe, Ceramic industry , Ceramic,2014, - Productivity: +16% ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 141 , Application of Lean Production/Construction to Reduce Waste in Pipe Gas Construction (Case Study of Semare-Tie in KM 19 Pipa Porong Grati Gas Development Project PT Pertamina Gas) ," VSM and Lean Construction approach, including Big Picture Mapping (BPM) ", VSM  (BPM) used in combination with Lean Construction ," - Improved efficiency and reduced waste in engineering work, specifically in the gas pipeline installation project ", Indonesia ,Indonesia,Asia, Oil and gas industry ,Oil and gas,2019, Not mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 271 , Lean Optimization of Batch Production in an Aluminium Company , VSM and other lean manufacturing techniques, VSM  used in combination with other lean tools , - Reduction of overall wastes in the component produced in batches <br> - Improvement in production planning control and operation management ," Port Harcourt, Rivers State, Nigeria ",Nigeria,Africa, Aluminium industry (production of aluminium roofing sheets and other building materials) ,Aluminium,2023, Not provided , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper 110,Implementation of Lean Manufacturing Tools in an Abattoir: A Case Study of a Botswana Private Beef Abattoir," VSM, 5S, Just-in-time, Redesigning and optimization of working cells and production layout, and control charts",Value stream mapping was used in combination with other lean manufacturing tools,"Improved productivity, work improvements, reduced waste in the manufacturing process, and improved efficiency","Botswana Private Beef Abattoir, Palapye, Botswana",Botswana,Africa,Beef industry,Beef,2018,"21-23% cycle time improvements, 20-22% process efficiency improvement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 121 , Lean Six Sigma: Multiple Case Study ," VSM, Lean Six Sigma (Lean Manufacturing and Six Sigma), SIPOC analysis, DMAIC methodology ", VSM  combined with other methods ," Optimization of machine and production flow, savings of resources, improvement in lead time "," Sorocaba, S?o Paulo ",Brazil,South America, Diverse industries ,,2017," Operation time reduced by 32%, process time reduced by 15% ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 79 , Business Process Reengineering Using a Customised Mapping Model: A Case Study in a SME ," VSM, Process Mapping (PM), and Process Activity Mapping (PAM)  "," Customised mapping model combining PM, PAM, and VSM  "," Increased stock accuracy from 22% to above 95%, reduction of reversed orders from about 40 per month to zero, order fulfillment time reduced by 50%, profitability improved threefold "," Herbert Retail Ltd., Haverhill, near Cambridge ",UK,Europe, Manufacturing and service sector (SME with ?20 million annual turnover and 200 employees) ,Manufacturing and service,2007," Number of reversed orders reduced from 40 to 0 per month, stock accuracy increased from 22% to above 95%, order fulfillment time reduced by 50%, profitability improved threefold ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 47,Lean Manufacturing in SMEs,"Cellular manufacturing and lean production planning and control techniques (pull, takt time, heijunka)",VSM ,"Increased production flow efficiency, reduced lead times, improved inventory control, and increased customer satisfaction","Milleteknik, a Swedish SME",Sweden,Europe,Electronics manufacturing,Electronics,2023,Not specified in the document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 285 , Application of value stream mapping for lean operations and cycle time reduction: An Indian case study ,VSM , VSM  used alone ," Improved productivity of supplier ABC Ltd., consistent hourly supply of motorcycle frames from ABC Ltd to XYZ, reduction in cycle time and lead time "," ABC Ltd, a dedicated supplier for XYZ, in India ",India,Asia," Automotive industry, motorcycle segment ","Automotive industry, motorcycle segment ",2005, Specific improvement rates not mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
